date,cars
10/24/2002,13729
10/25/2002,14206
10/26/2002,15166
10/27/2002,11858
10/28/2002,13365
10/29/2002,14192
10/30/2002,13999
10/31/2002,14046
11/01/2002,16518
11/02/2002,13363
11/03/2002,10351
11/04/2002,11838
11/05/2002,13102
11/06/2002,13779
11/07/2002,12512
11/08/2002,14534
11/09/2002,13371
11/10/2002,10052
11/11/2002,12086
11/12/2002,13246
11/13/2002,12763
11/14/2002,12553
11/15/2002,13986
11/16/2002,13135
11/17/2002,12330
11/18/2002,12057
11/19/2002,12924
11/20/2002,13390
11/21/2002,13501
11/22/2002,14669
11/23/2002,14044
11/24/2002,9816
11/25/2002,12026
11/26/2002,12639
11/27/2002,13162
11/28/2002,13286
11/29/2002,14619
11/30/2002,14853
12/01/2002,11360
12/02/2002,12161
12/03/2002,12962
12/04/2002,13473
12/05/2002,13948
12/06/2002,15284
12/07/2002,14767
12/08/2002,13328
12/09/2002,12354
12/10/2002,13635
12/11/2002,13650
12/12/2002,13659
12/13/2002,14890
12/14/2002,15200
12/15/2002,12319
12/16/2002,13172
12/17/2002,13738
12/18/2002,14275
12/19/2002,14577
12/20/2002,16169
12/21/2002,14493
12/22/2002,11194
12/23/2002,14968
12/24/2002,13306
12/25/2002,9161
12/26/2002,11418
12/27/2002,13660
12/28/2002,13234
12/29/2002,9813
12/30/2002,13760
12/31/2002,12117
01/01/2003,10647
01/02/2003,11934
01/03/2003,13472
01/04/2003,13287
01/05/2003,10037
01/06/2003,12042
01/07/2003,12560
01/08/2003,12785
01/09/2003,12500
01/10/2003,13276
01/11/2003,13091
01/12/2003,12810
01/13/2003,12311
01/14/2003,12721
01/15/2003,13423
01/16/2003,12851
01/17/2003,15044
01/18/2003,17629
01/19/2003,14006
01/20/2003,12727
01/21/2003,12650
01/22/2003,12683
01/23/2003,12338
01/24/2003,14548
01/25/2003,17070
01/26/2003,12741
01/27/2003,12587
01/28/2003,12807
01/29/2003,13073
01/30/2003,12853
01/31/2003,14064
02/01/2003,15023
02/02/2003,10414
02/03/2003,12312
02/04/2003,12849
02/05/2003,11480
02/06/2003,11501
02/07/2003,14111
02/08/2003,16291
02/09/2003,12814
02/10/2003,12772
02/11/2003,13280
02/12/2003,13467
02/13/2003,13630
02/14/2003,15314
02/15/2003,17175
02/16/2003,11584
02/17/2003,12592
02/18/2003,13759
02/19/2003,13459
02/20/2003,13530
02/21/2003,15850
02/22/2003,18769
02/23/2003,13290
02/24/2003,13521
02/25/2003,14155
02/26/2003,13944
02/27/2003,14349
02/28/2003,15775
03/01/2003,17653
03/02/2003,11355
03/03/2003,14169
03/04/2003,14419
03/05/2003,14952
03/06/2003,14440
03/07/2003,15467
03/08/2003,16992
03/09/2003,15952
03/10/2003,14138
03/11/2003,14298
03/12/2003,14449
03/13/2003,14776
03/14/2003,16799
03/15/2003,16439
03/16/2003,15869
03/17/2003,13687
03/18/2003,14089
03/19/2003,17153
03/20/2003,14443
03/21/2003,15271
03/22/2003,16080
03/23/2003,16596
03/24/2003,13748
03/25/2003,14579
03/26/2003,14574
03/27/2003,14550
03/28/2003,15099
03/29/2003,16896
03/30/2003,14371
03/31/2003,14348
04/01/2003,14828
04/02/2003,13862
04/03/2003,14083
04/04/2003,15810
04/05/2003,16320
04/06/2003,14069
04/07/2003,13950
04/08/2003,14391
04/09/2003,14144
04/10/2003,14239
04/11/2003,16344
04/12/2003,15498
04/13/2003,15772
04/14/2003,14676
04/15/2003,15607
04/16/2003,16002
04/17/2003,16887
04/18/2003,16648
04/19/2003,16322
04/20/2003,13321
04/21/2003,13817
04/22/2003,16485
04/23/2003,16684
04/24/2003,17142
04/25/2003,16948
04/26/2003,15470
04/27/2003,14138
04/28/2003,14237
04/29/2003,15474
04/30/2003,14387
05/01/2003,17048
05/02/2003,16934
05/03/2003,17646
05/04/2003,16641
05/05/2003,14968
05/06/2003,14675
05/07/2003,15401
05/08/2003,15351
05/09/2003,16380
05/10/2003,16416
05/11/2003,15593
05/12/2003,14344
05/13/2003,13948
05/14/2003,14636
05/15/2003,15609
05/16/2003,16420
05/17/2003,15331
05/18/2003,13717
05/19/2003,14246
05/20/2003,14143
05/21/2003,14589
05/22/2003,14214
05/23/2003,16356
05/24/2003,16783
05/25/2003,12590
05/26/2003,13978
05/27/2003,15394
05/28/2003,16451
05/29/2003,14460
05/30/2003,16405
05/31/2003,16290
06/01/2003,13153
06/02/2003,13940
06/03/2003,14933
06/04/2003,15828
06/05/2003,16470
06/06/2003,17508
06/07/2003,16895
06/08/2003,15350
06/09/2003,14590
06/10/2003,15765
06/11/2003,15743
06/12/2003,15012
06/13/2003,18239
06/14/2003,16778
06/15/2003,14156
06/16/2003,15708
06/17/2003,15161
06/18/2003,15031
06/19/2003,16961
06/20/2003,15801
06/21/2003,16805
06/22/2003,15055
06/23/2003,14516
06/24/2003,14759
06/25/2003,15054
06/26/2003,15143
06/27/2003,16774
06/28/2003,17741
06/29/2003,15326
06/30/2003,15496
07/01/2003,15249
07/02/2003,15612
07/03/2003,16539
07/04/2003,16868
07/05/2003,18815
07/06/2003,17736
07/07/2003,16578
07/08/2003,17594
07/09/2003,18070
07/10/2003,17603
07/11/2003,19730
07/12/2003,19513
07/13/2003,18339
07/14/2003,17376
07/15/2003,17688
07/16/2003,17633
07/17/2003,18150
07/18/2003,18376
07/19/2003,18667
07/20/2003,16864
07/21/2003,15355
07/22/2003,15529
07/23/2003,15832
07/24/2003,16270
07/25/2003,17313
07/26/2003,17109
07/27/2003,12991
07/28/2003,15826
07/29/2003,16541
07/30/2003,16444
07/31/2003,17585
08/01/2003,15630
08/02/2003,16637
08/03/2003,14398
08/04/2003,15216
08/05/2003,15759
08/06/2003,16012
08/07/2003,15876
08/08/2003,16291
08/09/2003,16407
08/10/2003,14985
08/11/2003,15509
08/12/2003,16121
08/13/2003,16619
08/14/2003,16205
08/15/2003,18924
08/16/2003,16626
08/17/2003,15171
08/18/2003,15424
08/19/2003,16959
08/20/2003,16172
08/21/2003,16065
08/22/2003,17294
08/23/2003,17961
08/24/2003,16376
08/25/2003,15377
08/26/2003,16203
08/27/2003,16155
08/28/2003,15978
08/29/2003,15663
08/30/2003,15785
08/31/2003,13978
09/01/2003,14428
09/02/2003,15944
09/03/2003,15121
09/04/2003,15122
09/05/2003,14908
09/06/2003,14865
09/07/2003,13664
09/08/2003,13678
09/09/2003,13847
09/10/2003,14035
09/11/2003,14299
09/12/2003,15275
09/13/2003,15912
09/14/2003,14981
09/15/2003,15210
09/16/2003,14369
09/17/2003,14844
09/18/2003,14583
09/19/2003,15330
09/20/2003,15501
09/21/2003,14919
09/22/2003,12260
09/23/2003,18246
09/24/2003,17840
09/25/2003,17791
09/26/2003,19761
09/27/2003,20037
09/28/2003,15126
09/29/2003,16492
09/30/2003,16944
10/01/2003,17105
10/02/2003,17343
10/03/2003,16833
10/04/2003,14935
10/05/2003,11203
10/06/2003,13785
10/07/2003,13973
10/08/2003,14713
10/09/2003,14101
10/10/2003,16432
10/11/2003,15449
10/12/2003,13241
10/13/2003,14006
10/14/2003,14274
10/15/2003,14704
10/16/2003,14494
10/17/2003,15039
10/18/2003,14454
10/19/2003,12486
10/20/2003,13013
10/21/2003,13270
10/22/2003,13855
10/23/2003,12989
10/24/2003,14155
10/25/2003,15613
10/26/2003,11953
10/27/2003,13340
10/28/2003,14298
10/29/2003,14192
10/30/2003,14492
10/31/2003,14893
11/01/2003,16933
11/02/2003,12686
11/03/2003,12842
11/04/2003,14138
11/05/2003,14620
11/06/2003,14374
11/07/2003,15851
11/08/2003,14880
11/09/2003,11999
11/10/2003,13146
11/11/2003,13744
11/12/2003,13770
11/13/2003,13911
11/14/2003,14682
11/15/2003,14722
11/16/2003,11083
11/17/2003,12763
11/18/2003,13534
11/19/2003,14066
11/20/2003,13579
11/21/2003,15099
11/22/2003,14411
11/23/2003,11357
11/24/2003,12692
11/25/2003,13345
11/26/2003,14238
11/27/2003,12984
11/28/2003,14125
11/29/2003,15244
11/30/2003,11213
12/01/2003,12752
12/02/2003,13285
12/03/2003,13582
12/04/2003,13850
12/05/2003,15026
12/06/2003,15808
12/07/2003,14000
12/08/2003,17312
12/09/2003,13643
12/10/2003,13865
12/11/2003,12631
12/12/2003,15585
12/13/2003,16576
12/14/2003,11793
12/15/2003,12855
12/16/2003,13769
12/17/2003,14380
12/18/2003,14463
12/19/2003,14761
12/20/2003,14958
12/21/2003,10472
12/22/2003,14011
12/23/2003,14863
12/24/2003,13279
12/25/2003,9645
12/26/2003,12174
12/27/2003,14325
12/28/2003,9456
12/29/2003,12990
12/30/2003,13639
12/31/2003,12309
01/01/2004,9669
01/02/2004,11553
01/03/2004,14670
01/04/2004,10740
01/05/2004,12372
01/06/2004,12573
01/07/2004,12669
01/08/2004,12767
01/09/2004,13104
01/10/2004,13263
01/11/2004,9633
01/12/2004,12363
01/13/2004,12329
01/14/2004,13055
01/15/2004,12612
01/16/2004,13809
01/17/2004,13343
01/18/2004,10792
01/19/2004,12726
01/20/2004,11802
01/21/2004,13089
01/22/2004,13185
01/23/2004,14321
01/24/2004,13715
01/25/2004,12426
01/26/2004,12051
01/27/2004,12716
01/28/2004,12525
01/29/2004,12641
01/30/2004,14770
01/31/2004,16233
02/01/2004,16062
02/02/2004,13571
02/03/2004,13872
02/04/2004,14285
02/05/2004,14272
02/06/2004,15789
02/07/2004,14582
02/08/2004,11631
02/09/2004,13266
02/10/2004,13732
02/11/2004,13490
02/12/2004,13903
02/13/2004,15966
02/14/2004,19285
02/15/2004,13654
02/16/2004,13205
02/17/2004,13651
02/18/2004,13562
02/19/2004,13701
02/20/2004,14994
02/21/2004,17466
02/22/2004,11512
02/23/2004,12039
02/24/2004,13761
02/25/2004,13640
02/26/2004,12910
02/27/2004,15516
02/28/2004,17443
02/29/2004,12279
03/01/2004,16062
03/02/2004,13571
03/03/2004,13872
03/04/2004,14285
03/05/2004,14272
03/06/2004,15789
03/07/2004,14582
03/08/2004,11631
03/09/2004,13266
03/10/2004,13732
03/11/2004,13490
03/12/2004,13903
03/13/2004,15966
03/14/2004,19285
03/15/2004,13654
03/16/2004,13205
03/17/2004,13651
03/18/2004,13562
03/19/2004,13701
03/20/2004,14994
03/21/2004,17466
03/22/2004,11512
03/23/2004,12039
03/24/2004,13761
03/25/2004,13640
03/26/2004,12910
03/27/2004,15516
03/28/2004,17443
03/29/2004,12279
03/30/2004,13849
03/31/2004,14110
04/01/2004,14324
04/02/2004,14196
04/03/2004,14779
04/04/2004,14864
04/05/2004,12134
04/06/2004,12844
04/07/2004,13790
04/08/2004,13615
04/09/2004,13316
04/10/2004,14838
04/11/2004,14607
04/12/2004,11888
04/13/2004,14394
04/14/2004,15789
04/15/2004,17468
04/16/2004,15711
04/17/2004,18610
04/18/2004,15172
04/19/2004,13722
04/20/2004,13739
04/21/2004,13631
04/22/2004,14019
04/23/2004,14213
04/24/2004,15653
04/25/2004,16534
04/26/2004,16680
04/27/2004,14666
04/28/2004,15419
04/29/2004,15900
04/30/2004,15783
05/01/2004,16768
05/02/2004,16617
05/03/2004,13282
05/04/2004,15128
05/05/2004,14708
05/06/2004,14906
05/07/2004,17108
05/08/2004,12409
05/09/2004,15048
05/10/2004,14079
05/11/2004,14421
05/12/2004,14834
05/13/2004,19533
05/14/2004,19147
05/15/2004,20651
05/16/2004,20340
05/17/2004,14875
05/18/2004,16006
05/19/2004,16436
05/20/2004,17742
05/21/2004,17803
05/22/2004,19380
05/23/2004,19385
05/24/2004,18678
05/25/2004,16904
05/26/2004,17766
05/27/2004,18747
05/28/2004,17994
05/29/2004,20869
05/30/2004,18141
05/31/2004,15232
06/01/2004,16828
06/02/2004,17103
06/03/2004,17365
06/04/2004,16869
06/05/2004,20296
06/06/2004,17458
06/07/2004,15643
06/08/2004,16443
06/09/2004,16975
06/10/2004,18017
06/11/2004,17281
06/12/2004,19657
06/13/2004,20269
06/14/2004,18047
06/15/2004,17518
06/16/2004,19072
06/17/2004,22427
06/18/2004,19000
06/19/2004,19349
06/20/2004,17695
06/21/2004,18063
06/22/2004,17525
06/23/2004,17898
06/24/2004,18450
06/25/2004,18493
06/26/2004,20532
06/27/2004,20075
06/28/2004,18335
06/29/2004,18158
06/30/2004,18559
07/01/2004,17540
07/02/2004,17372
07/03/2004,19313
07/04/2004,19276
07/05/2004,16952
07/06/2004,17390
07/07/2004,18471
07/08/2004,18675
07/09/2004,18410
07/10/2004,19467
07/11/2004,17763
07/12/2004,14499
07/13/2004,15110
07/14/2004,15621
07/15/2004,16215
07/16/2004,16326
07/17/2004,20080
07/18/2004,17661
07/19/2004,14499
07/20/2004,15104
07/21/2004,15872
07/22/2004,16858
07/23/2004,16591
07/24/2004,19831
07/25/2004,20358
07/26/2004,17851
07/27/2004,16026
07/28/2004,17348
07/29/2004,17338
07/30/2004,17141
07/31/2004,18891
08/01/2004,20037
08/02/2004,17313
08/03/2004,17668
08/04/2004,17693
08/05/2004,18398
08/06/2004,18583
08/07/2004,19813
08/08/2004,21808
08/09/2004,17637
08/10/2004,17420
08/11/2004,17938
08/12/2004,19962
08/13/2004,21006
08/14/2004,21788
08/15/2004,22050
08/16/2004,18625
08/17/2004,17249
08/18/2004,17426
08/19/2004,19355
08/20/2004,21661
08/21/2004,22936
08/22/2004,21306
08/23/2004,17038
08/24/2004,17603
08/25/2004,18244
08/26/2004,19826
08/27/2004,19864
08/28/2004,21389
08/29/2004,20778
08/30/2004,15319
08/31/2004,19261
09/01/2004,17877
09/02/2004,18602
09/03/2004,19234
09/04/2004,20805
09/05/2004,20783
09/06/2004,18151
09/07/2004,19076
09/08/2004,17715
09/09/2004,18794
09/10/2004,19036
09/11/2004,21236
09/12/2004,20761
09/13/2004,18694
09/14/2004,19520
09/15/2004,18686
09/16/2004,18630
09/17/2004,19043
09/18/2004,20392
09/19/2004,20705
09/20/2004,19730
09/21/2004,17522
09/22/2004,15485
09/23/2004,16880
09/24/2004,17076
09/25/2004,19309
09/26/2004,20908
09/27/2004,16401
09/28/2004,15779
09/29/2004,15645
09/30/2004,16809
10/01/2004,17215
10/02/2004,19928
10/03/2004,21165
10/04/2004,18043
10/05/2004,15500
10/06/2004,16513
10/07/2004,16643
10/08/2004,18846
10/09/2004,20732
10/10/2004,19907
10/11/2004,16194
10/12/2004,15784
10/13/2004,15262
10/14/2004,15997
10/15/2004,16246
10/16/2004,19068
10/17/2004,17875
10/18/2004,17388
10/19/2004,14745
10/20/2004,16364
10/21/2004,16081
10/22/2004,17786
10/23/2004,19199
10/24/2004,17631
10/25/2004,13314
10/26/2004,15297
10/27/2004,15493
10/28/2004,15803
10/29/2004,16746
10/30/2004,19082
10/31/2004,19570
11/01/2004,17207
11/02/2004,15971
11/03/2004,16298
11/04/2004,16787
11/05/2004,15920
11/06/2004,17732
11/07/2004,18480
11/08/2004,15069
11/09/2004,15015
11/10/2004,14877
11/11/2004,15737
11/12/2004,16581
11/13/2004,18138
11/14/2004,16395
11/15/2004,12473
11/16/2004,13837
11/17/2004,13704
11/18/2004,14234
11/19/2004,14815
11/20/2004,18669
11/21/2004,19057
11/22/2004,16022
11/23/2004,14598
11/24/2004,14406
11/25/2004,15691
11/26/2004,15634
11/27/2004,18831
11/28/2004,18597
11/29/2004,14202
11/30/2004,18840
12/01/2004,14477
12/02/2004,15208
12/03/2004,15145
12/04/2004,18209
12/05/2004,16769
12/06/2004,13425
12/07/2004,14014
12/08/2004,12768
12/09/2004,12553
12/10/2004,12285
12/11/2004,13172
12/12/2004,12888
12/13/2004,9774
12/14/2004,11332
12/15/2004,12053
12/16/2004,12650
12/17/2004,12571
12/18/2004,13000
12/19/2004,12938
12/20/2004,9856
12/21/2004,11524
12/22/2004,11981
12/23/2004,12779
12/24/2004,12425
12/25/2004,13519
12/26/2004,14523
12/27/2004,11495
12/28/2004,11606
12/29/2004,11945
12/30/2004,12535
12/31/2004,12299
01/01/2005,13679
01/02/2005,14748
01/03/2005,11615
01/04/2005,12056
01/05/2005,12800
01/06/2005,16129
01/07/2005,12849
01/08/2005,13416
01/09/2005,14140
01/10/2005,11639
01/11/2005,12001
01/12/2005,12392
01/13/2005,13030
01/14/2005,13030
01/15/2005,13054
01/16/2005,13225
01/17/2005,8963
01/18/2005,12077
01/19/2005,12759
01/20/2005,13503
01/21/2005,13665
01/22/2005,11616
01/23/2005,8174
01/24/2005,7799
01/25/2005,10877
01/26/2005,11152
01/27/2005,11226
01/28/2005,12759
01/29/2005,10519
01/30/2005,8672
01/31/2005,9506
02/01/2005,10981
02/02/2005,11266
02/03/2005,11277
02/04/2005,10899
02/05/2005,11922
02/06/2005,12368
02/07/2005,9481
02/08/2005,11326
02/09/2005,11434
02/10/2005,11520
02/11/2005,11477
02/12/2005,12663
02/13/2005,12273
02/14/2005,11088
02/15/2005,11255
02/16/2005,10738
02/17/2005,10726
02/18/2005,10791
02/19/2005,12151
02/20/2005,11493
02/21/2005,6594
02/22/2005,9441
02/23/2005,10245
02/24/2005,10590
02/25/2005,11126
02/26/2005,12113
02/27/2005,11909
02/28/2005,10603
03/01/2005,10962
03/02/2005,10524
03/03/2005,11416
03/04/2005,11718
03/05/2005,12857
03/06/2005,15679
03/07/2005,10300
03/08/2005,11340
03/09/2005,11856
03/10/2005,12031
03/11/2005,11704
03/12/2005,12339
03/13/2005,15412
03/14/2005,8173
03/15/2005,10572
03/16/2005,9891
03/17/2005,10848
03/18/2005,11146
03/19/2005,12261
03/20/2005,12281
03/21/2005,7219
03/22/2005,10706
03/23/2005,10978
03/24/2005,11287
03/25/2005,11782
03/26/2005,13204
03/27/2005,14524
03/28/2005,10177
03/29/2005,11133
03/30/2005,11783
03/31/2005,11810
04/01/2005,11657
04/02/2005,12457
04/03/2005,11805
04/04/2005,8146
04/05/2005,10899
04/06/2005,11512
04/07/2005,11840
04/08/2005,12305
04/09/2005,13149
04/10/2005,13543
04/11/2005,13221
04/12/2005,13245
04/13/2005,13246
04/14/2005,13225
04/15/2005,13475
04/16/2005,14318
04/17/2005,16994
04/18/2005,14178
04/19/2005,12443
04/20/2005,12109
04/21/2005,12896
04/22/2005,13601
04/23/2005,13184
04/24/2005,14370
04/25/2005,10867
04/26/2005,12153
04/27/2005,13051
04/28/2005,13134
04/29/2005,12990
04/30/2005,14934
05/01/2005,15181
05/02/2005,13095
05/03/2005,12492
05/04/2005,13148
05/05/2005,14189
05/06/2005,12161
05/07/2005,13023
05/08/2005,12223
05/09/2005,11496
05/10/2005,12063
05/11/2005,12783
05/12/2005,12918
05/13/2005,13616
05/14/2005,13668
05/15/2005,13077
05/16/2005,8026
05/17/2005,12408
05/18/2005,14104
05/19/2005,14534
05/20/2005,15334
05/21/2005,19118
05/22/2005,17197
05/23/2005,12520
05/24/2005,14461
05/25/2005,15160
05/26/2005,15757
05/27/2005,15796
05/28/2005,18203
05/29/2005,19281
05/30/2005,16432
05/31/2005,15513
06/01/2005,15967
06/02/2005,19158
06/03/2005,14499
06/04/2005,17981
06/05/2005,16514
06/06/2005,17058
06/07/2005,14471
06/08/2005,14928
06/09/2005,16190
06/10/2005,15645
06/11/2005,18442
06/12/2005,16893
06/13/2005,15989
06/14/2005,13377
06/15/2005,16857
06/16/2005,15845
06/17/2005,16496
06/18/2005,19689
06/19/2005,16717
06/20/2005,12212
06/21/2005,14265
06/22/2005,15786
06/23/2005,16928
06/24/2005,19013
06/25/2005,18665
06/26/2005,19507
06/27/2005,15508
06/28/2005,15038
06/29/2005,15219
06/30/2005,16140
07/01/2005,16827
07/02/2005,18622
07/03/2005,17816
07/04/2005,15700
07/05/2005,15068
07/06/2005,15773
07/07/2005,16413
07/08/2005,15878
07/09/2005,18979
07/10/2005,20532
07/11/2005,16033
07/12/2005,14758
07/13/2005,15273
07/14/2005,16080
07/15/2005,16321
07/16/2005,19057
07/17/2005,19256
07/18/2005,16678
07/19/2005,15496
07/20/2005,15828
07/21/2005,16612
07/22/2005,17190
07/23/2005,19408
07/24/2005,19833
07/25/2005,17129
07/26/2005,15869
07/27/2005,15509
07/28/2005,16282
07/29/2005,18688
07/30/2005,19236
07/31/2005,19584
08/01/2005,18074
08/02/2005,16591
08/03/2005,17912
08/04/2005,17820
08/05/2005,17951
08/06/2005,20957
08/07/2005,21258
08/08/2005,17080
08/09/2005,17598
08/10/2005,18236
08/11/2005,18649
08/12/2005,20035
08/13/2005,21489
08/14/2005,21885
08/15/2005,19882
08/16/2005,17094
08/17/2005,17080
08/18/2005,19127
08/19/2005,20261
08/20/2005,22889
08/21/2005,20776
08/22/2005,18770
08/23/2005,21666
08/24/2005,17818
08/25/2005,18667
08/26/2005,19137
08/27/2005,19999
08/28/2005,20178
08/29/2005,16603
08/30/2005,16010
08/31/2005,20148
09/01/2005,19058
09/02/2005,19386
09/03/2005,20046
09/04/2005,21681
09/05/2005,17517
09/06/2005,17869
09/07/2005,18671
09/08/2005,19084
09/09/2005,18790
09/10/2005,20589
09/11/2005,21656
09/12/2005,16462
09/13/2005,20273
09/14/2005,18717
09/15/2005,19672
09/16/2005,19406
09/17/2005,20949
09/18/2005,20110
09/19/2005,14702
09/20/2005,17688
09/21/2005,17778
09/22/2005,18921
09/23/2005,18906
09/24/2005,20809
09/25/2005,21096
09/26/2005,17262
09/27/2005,18201
09/28/2005,16216
09/29/2005,17819
09/30/2005,17407
10/01/2005,19095
10/02/2005,18797
10/03/2005,16678
10/04/2005,14977
10/05/2005,15841
10/06/2005,15676
10/07/2005,18314
10/08/2005,17490
10/09/2005,18379
10/10/2005,14926
10/11/2005,14094
10/12/2005,15242
10/13/2005,16094
10/14/2005,15581
10/15/2005,18643
10/16/2005,15711
10/17/2005,12763
10/18/2005,12698
10/19/2005,15604
10/20/2005,15547
10/21/2005,15668
10/22/2005,18421
10/23/2005,18491
10/24/2005,14513
10/25/2005,15253
10/26/2005,15254
10/27/2005,15235
10/28/2005,15579
10/29/2005,17881
10/30/2005,17889
10/31/2005,12343
11/01/2005,14883
11/02/2005,14429
11/03/2005,16897
11/04/2005,16453
11/05/2005,18180
11/06/2005,19286
11/07/2005,16625
11/08/2005,15123
11/09/2005,15455
11/10/2005,15931
11/11/2005,15274
11/12/2005,17784
11/13/2005,18503
11/14/2005,16388
11/15/2005,15801
11/16/2005,15942
11/17/2005,16308
11/18/2005,15434
11/19/2005,17795
11/20/2005,17520
11/21/2005,11418
11/22/2005,14083
11/23/2005,15098
11/24/2005,16365
11/25/2005,17784
11/26/2005,19414
11/27/2005,19887
11/28/2005,17209
11/29/2005,17038
11/30/2005,19031
12/01/2005,16109
12/02/2005,13475
12/03/2005,13027
12/04/2005,12470
12/05/2005,10035
12/06/2005,11425
12/07/2005,12129
12/08/2005,12366
12/09/2005,12120
12/10/2005,13636
12/11/2005,13390
12/12/2005,10568
12/13/2005,11780
12/14/2005,12883
12/15/2005,12867
12/16/2005,13212
12/17/2005,13803
12/18/2005,12842
12/19/2005,10089
12/20/2005,11812
12/21/2005,12232
12/22/2005,12178
12/23/2005,12227
12/24/2005,12102
12/25/2005,13144
12/26/2005,9562
12/27/2005,10833
12/28/2005,11654
12/29/2005,12314
12/30/2005,12709
12/31/2005,13303
01/01/2006,13519
01/02/2006,10202
01/03/2006,11376
01/04/2006,12049
01/05/2006,12954
01/06/2006,14902
01/07/2006,13780
01/08/2006,14668
01/09/2006,12193
01/10/2006,11623
01/11/2006,12250
01/12/2006,12772
01/13/2006,12923
01/14/2006,12650
01/15/2006,12950
01/16/2006,10986
01/17/2006,11747
01/18/2006,12530
01/19/2006,13065
01/20/2006,12987
01/21/2006,13544
01/22/2006,10716
01/23/2006,7583
01/24/2006,9420
01/25/2006,10896
01/26/2006,10034
01/27/2006,10480
01/28/2006,11200
01/29/2006,8922
01/30/2006,7771
01/31/2006,8727
02/01/2006,10681
02/02/2006,10912
02/03/2006,10990
02/04/2006,11375
02/05/2006,11059
02/06/2006,8932
02/07/2006,10375
02/08/2006,10966
02/09/2006,11457
02/10/2006,10918
